#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
32,R SCT,000-BCD-304,2458312.35555,5.835,0.03,False,Johnson V,CCD,TUB,"1,17",False
33,R Sct,000-BCD-304,2458313.5784,5.148,0.061,False,Johnson V,DSLR,SHS,1.767,True
34,R SCT,000-BCD-304,2458314.15708,6.519,0.008,False,Johnson B,CCD,MSD,1.392,True
35,R SCT,000-BCD-304,2458314.15819,5.162,0.003,False,Johnson V,CCD,MSD,1.398,True
36,R SCT,000-BCD-304,2458318.40483,5.182,0.011,False,Johnson V,DSLR,ADI,1.787,True
37,R SCT,000-BCD-304,2458318.40483,6.615,0.020,False,Johnson B,DSLR,ADI,1.787,True
38,R Sct,000-BCD-304,2458319.5890,5.082,0.057,False,Johnson V,DSLR,SHS,1.662,True
39,R SCT,000-BCD-304,2458322.15031,6.553,0.005,False,Johnson B,CCD,MSD,1.481,True
40,R SCT,000-BCD-304,2458322.15161,5.166,0.001,False,Johnson V,CCD,MSD,1.490,True
41,R SCT,000-BCD-304,2458329.40110,5.331,0.025,False,Johnson V,DSLR,ADI,1.749,True
42,R SCT,000-BCD-304,2458329.40110,6.789,0.023,False,Johnson B,DSLR,ADI,1.749,True
43,R SCT,000-BCD-304,2458330.32916,6.122,0.03,False,Johnson V,CCD,TUB,"1,17",False
44,R Sct,000-BCD-304,2458333.5590,5.432,0.074,False,Johnson V,DSLR,SHS,1.620,True
45,R SCT,000-BCD-304,2458334.34652,6.382,0.02,False,Johnson V,CCD,TUB,"1,17",False
46,R SCT,000-BCD-304,2458337.33472,6.356,0.02,False,Johnson V,CCD,TUB,"1,17",False
47,R SCT,000-BCD-304,2458340.35208,6.294,0.02,False,Johnson V,CCD,TUB,"1,17",False
48,R Sct,000-BCD-304,2458341.5923,5.587,0.045,False,Johnson V,DSLR,SHS,1.586,True
49,R SCT,000-BCD-304,2458343.35810,5.773,0.012,False,Johnson V,DSLR,ADI,1.752,True
50,R SCT,000-BCD-304,2458343.35810,7.219,0.025,False,Johnson B,DSLR,ADI,1.752,True
51,R SCT,000-BCD-304,2458346.33402,6.463,0.01,False,Johnson V,CCD,TUB,"1,17",False
